PHYSICAL_CITY,Multipart Flag,Year Incorporated,Estimate Date,Population,Estimate Type,year,month,day,Latitude,Longitude
FUQUAY VARINA,Located in More than 1 County,1909,2021-07-01,36017,Standard Estimate,2021,7,1,35.5954219622,-78.7777054421
HOLLY SPRINGS,Located in Only 1 County,1876,2021-07-01,43269,Standard Estimate,2021,7,1,35.6525849523,-78.8400153596
WENDELL,Located in Only 1 County,1903,2021-07-01,10694,Standard Estimate,2021,7,1,35.7818163328,-78.3950307638
CLAYTON,Located in More than 1 County,1869,2021-07-01,0,Standard Estimate,2021,7,1,35.6590646033,-78.4498289701
MORRISVILLE,Located in More than 1 County,1852,2021-07-01,31253,Standard Estimate,2021,7,1,35.8367057698,-78.8347795016
GARNER,Located in Only 1 County,1905,2021-07-01,32332,Standard Estimate,2021,7,1,35.6936035245,-78.6181360214
KNIGHTDALE,Located in Only 1 County,1927,2021-07-01,19674,Standard Estimate,2021,7,1,35.7911245877,-78.4965467006
ROLESVILLE,Located in Only 1 County,1941,2021-07-01,9894,Standard Estimate,2021,7,1,35.9224362807,-78.4653777632
WAKE FOREST,Located in More than 1 County,1909,2021-07-01,47163,Standard Estimate,2021,7,1,35.9631601193,-78.51400121
RALEIGH,Located in More than 1 County,1792,2021-07-01,470566,Standard Estimate,2021,7,1,35.8323323576,-78.642941089
ZEBULON,Located in More than 1 County,1907,2021-07-01,7436,Standard Estimate,2021,7,1,35.8328707316,-78.3158557927
ANGIER,Located in More than 1 County,1901,2021-07-01,694,Standard Estimate,2021,7,1,35.5117618316,-78.7403746381
CARY,Located in More than 1 County,1871,2021-07-01,173852,Standard Estimate,2021,7,1,35.781789147,-78.8193495533
APEX,Located in More than 1 County,1873,2021-07-01,61446,Standard Estimate,2021,7,1,35.7237931805,-78.8743479865
DURHAM,Located in More than 1 County,1869,2021-07-01,274,Standard Estimate,2021,7,1,35.9792246256,-78.9022502586
CREEDMOOR,Located in More than 1 County,0,2021-07-01,4612,Standard Estimate,2021,7,1,0,0
WILLOW SPRING,Located in More than 1 County,15244,2021-07-01,0,Standard Estimate,2021,7,1,0,0
YOUNGSVILLE,Located in More than 1 County,2119,2021-07-01,0,Standard Estimate,2021,7,1,0,0
NEW HILL,Located in More than 1 County,1660,2021-07-01,0,Standard Estimate,2021,7,1,0,0